"nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19"
30,5,720,5,6,7,3,3,2,3,2,7,6,6,5,4,6,4,"Yes",9,5,4,2,"Yes",3,5,1,8,4,"Yes",9,3,7,"No","Yes","No",2006,"Yes","No","No",5,2,10,5,5,4,2,1,NA,NA,0,178,69,"No",7,"Male",23,NA,2,"Yes"
956,5,480,7,6,3,2,3,1,3,1,2,5,5,4,2,4,7,"No",7,7,3,3,"No",4,5,1,5,3,"Yes",6,3,1,"No","No","No",2002,"Yes","No","No",2,2,8,3,5,7,3,5,0,126,4,189,97,"No",8,"Male",27,NA,5,"Yes"
15,5,60,5,7,5,2,2,1,1,1,2,2,6,4,4,5,6,"Yes",8,6,6,3,"No",3,4,1,7,6,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",3,3,7,5,5,7,1,2,0,19.8,2,167,65,"No",8,"Female",38,"Living with my partner - legally recognised",5,"Yes"
240,5,720,8,8,8,3,4,5,4,4,7,7,8,6,4,6,3,"Yes",8,6,6,2,"No",4,5,1,6,6,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,7,5,6,7,1,5,9.6,16.2,2,NA,NA,"No",8,"Male",27,NA,5,"Yes"
15,5,240,7,6,6,2,3,2,2,2,6,6,7,5,5,6,6,"Yes",8,5,2,2,"No",3,4,1,9,9,"Yes",7,1,4,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,5,4,5,5,1,5,72,144,2,164,62,"No",8,"Female",43,"Legally married",5,"Yes"
75,5,120,7,7,3,2,2,1,3,1,3,3,5,2,2,3,3,"Yes",6,6,2,3,"No",NA,3,2,6,4,"No",7,2,2,"No","Yes","Yes",NA,"No","Yes","Yes",6,2,3,5,4,0,3,7,19.6,9.6,1,167,75,"No",4,"Female",79,NA,4,"Yes"
60,4,120,5,5,5,2,2,2,2,1,7,7,8,5,5,5,5,"Yes",8,5,2,3,"Yes",4,4,1,5,4,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,8,7,7,4,4,5,0,19.2,3,191,100,"No",8,"Male",41,"Living with my partner - legally recognised",5,"Yes"
150,5,270,4,3,2,2,2,4,2,4,5,4,4,3,3,3,0,"No",5,4,4,1,"Yes",3,4,1,6,6,"Yes",10,5,7,"Yes","Yes","No",1988,"No","No","No",10,4,5,5,4,1,1,1,NA,NA,0,170,70,"No",4,"Male",44,"Legally married",6,"No"
210,5,165,5,6,5,2,2,2,2,2,5,6,6,5,5,6,7,"Yes",8,2,2,1,"No",3,4,1,8,8,"Yes",7,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,6,3,5,1,2,2,0,65.6,1,180,75,"No",8,"Male",60,"Legally married",5,"Yes"
90,5,30,1,0,1,4,1,2,1,1,0,0,1,0,0,1,5,"Yes",8,6,2,3,"Yes",2,3,2,1,1,"No",3,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,5,7,6,3,5,1,NA,NA,0,146,71,"No",9,"Female",53,NA,6,"Yes"
20,5,540,7,6,4,2,2,4,3,4,7,6,3,3,3,2,6,"Yes",8,5,6,1,"No",2,4,1,4,2,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,4,8,3,2,3,3,4,10,34.6,2,194,67,"Yes",8,"Male",30,"Legally married",3,"Yes"
30,5,360,6,7,4,1,3,2,3,2,4,7,7,4,2,7,7,"Not eligible to vote",7,7,3,3,"No",3,4,1,8,7,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,2,7,3,6,5,2,4,29.6,59.6,3,178,70,"No",8,"Male",18,NA,3,"Yes"
30,5,360,4,6,6,1,3,1,NA,1,NA,6,4,NA,NA,NA,NA,"Not eligible to vote",8,7,3,3,"No",2,4,1,7,7,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","No",10,3,7,2,5,7,1,4,0,46.2,4,154,50,"No",8,"Female",19,NA,5,"Yes"
60,5,360,4,2,3,2,2,2,2,3,5,4,3,4,4,3,2,"No",5,2,3,2,"Yes",2,2,3,7,5,"Yes",7,4,7,"No","No","No",2006,"Yes","No","No",7,4,5,5,6,0,2,6,13.2,19.8,4,158,77,"Yes",4,"Female",27,NA,4,"No"
15,5,360,6,8,7,2,2,1,3,1,3,3,9,3,6,3,1,"Yes",7,4,3,3,"No",2,3,2,4,1,"No",6,3,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,3,5,6,7,1,4,0,6.6,2,173,93,"Yes",8,"Female",27,NA,5,"Yes"
45,5,150,4,2,5,4,1,2,2,2,4,3,5,4,3,4,4,"Yes",7,6,2,5,"Yes",2,4,1,8,6,"No",0,1,1,"No","Yes","Yes",NA,"No","No","Yes",8,4,6,5,5,7,6,2,0,13.2,2,166,82,"Yes",8,"Male",57,"Living with my partner - not legally recognised",5,"Yes"
45,5,120,1,7,5,3,3,2,2,1,7,10,10,3,7,8,8,"Yes",9,6,3,2,"No",3,4,1,10,9,"No",0,1,1,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",9,4,7,6,6,5,6,5,10,22.8,2,176,80,"No",9,"Male",38,"Living with my partner - not legally recognised",5,"Yes"
60,3,NA,5,5,5,1,1,1,1,1,0,5,5,0,0,0,0,"No",10,4,5,4,"No",3,4,1,5,5,"Yes",10,6,7,"No","Yes","No",2005,"Yes","No","No",0,2,10,7,6,0,1,1,NA,NA,0,175,98,"No",10,"Male",43,"Legally married",4,"No"
90,5,210,3,7,5,3,2,2,3,2,7,8,7,7,5,7,5,"Yes",7,5,1,3,"No",4,3,2,9,8,"Yes",9,5,6,"No","Yes","Yes",NA,"Yes","Yes","No",5,4,3,6,5,2,1,1,NA,NA,0,175,59,"No",8,"Female",53,NA,5,"Yes"
180,2,NA,7,7,6,2,3,1,3,2,8,8,8,7,6,7,4,"Yes",8,6,2,2,"No",4,5,1,7,8,"No",6,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",0,2,8,7,4,2,4,5,13.2,13.2,1,177,100,"No",8,"Male",75,NA,5,"Yes"
45,5,90,7,9,3,2,3,3,2,3,8,8,9,9,0,3,3,"Yes",9,6,4,3,"No",3,4,1,9,9,"No",5,1,1,"No","Yes","No",1992,"Yes","No","No",9,4,8,5,5,7,2,4,0,36.4,3,180,100,"No",8,"Male",54,NA,5,"No"
150,5,600,8,5,8,4,2,4,2,5,7,7,7,7,4,7,7,"Not eligible to vote",8,6,6,4,"No",3,4,1,6,10,"No",2,1,1,"No","No","No",2021,"Yes","No","No",6,4,7,5,6,1,4,6,33.2,13.2,2,173,68,"No",9,"Male",26,NA,4,"Yes"
75,5,120,6,7,4,4,3,3,3,3,8,5,5,6,6,6,8,"Yes",8,4,3,2,"No",3,2,3,3,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,5,6,5,0,3,6,9.6,13.2,1,174,69,"Yes",7,"Male",77,"Legally married",5,"Yes"
60,1,NA,2,2,2,1,1,1,1,1,3,5,7,3,2,5,6,"Yes",6,3,1,1,"Yes",2,3,2,7,7,"Yes",8,3,5,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",NA,3,4,6,4,2,1,4,13.2,13.2,1,163,60,"No",6,"Female",74,NA,6,"Yes"
30,5,180,7,6,8,2,2,1,3,1,7,6,7,7,6,7,7,"Yes",6,3,2,2,"No",4,5,1,7,6,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,4,7,4,6,3,1,4,13.2,19.8,2,170,76,"No",6,"Female",43,"Living with my partner - legally recognised",4,"Yes"
60,1,NA,6,9,7,4,2,3,2,2,8,5,5,5,5,5,5,"Yes",9,6,3,NA,"No",4,4,1,8,8,"Yes",8,2,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,1,8,5,5,2,1,7,186.6,126.9,1,149,45,"No",9,"Male",83,"Legally married",6,"Yes"
15,2,NA,7,2,4,1,1,1,1,1,NA,4,6,5,3,3,4,"Yes",6,6,3,4,"No",3,3,2,8,8,"No",1,2,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,2,4,4,4,0,5,6,195.1,268.3,4,180,58,"Yes",6,"Male",27,NA,4,"Yes"
5,5,600,5,7,2,2,2,2,1,2,4,7,5,1,0,7,8,"Yes",8,6,6,4,"No",4,5,1,5,7,"No",0,2,1,"Yes","Yes","Yes",NA,"Yes","No","Yes",8,4,4,5,6,7,1,5,85.2,85.2,3,164,45,"Yes",8,"Female",27,NA,3,"Yes"
20,4,300,8,7,6,3,NA,2,NA,2,NA,8,8,NA,4,9,8,"No",7,5,5,3,"No",4,4,1,3,8,"No",5,2,1,"No","Yes","No",2009,"Yes","Yes","No",8,4,6,6,6,3,1,4,23.2,23.2,3,197,80,"No",6,"Male",19,NA,4,"No"
120,1,NA,5,5,5,3,2,1,1,1,6,4,8,5,5,6,NA,"Yes",8,4,4,2,"No",2,5,1,7,5,"No",6,3,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,5,5,7,1,7,22.8,22.8,5,157,50,"No",8,"Female",80,NA,5,"Yes"
30,5,360,2,4,6,3,2,3,2,4,3,2,1,3,3,4,1,"Yes",6,7,6,2,"Yes",3,3,2,4,4,"No",7,1,2,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",8,4,5,5,5,6,4,2,0,66.2,2,158,79,"Yes",5,"Female",31,NA,NA,"Yes"
60,4,15,3,4,4,4,2,2,1,1,3,5,6,2,2,1,2,"Yes",7,3,4,1,"Yes",3,4,2,7,8,"No",3,1,5,"No","Yes","Yes",NA,"Yes","Yes","Yes",3,4,4,4,5,6,3,7,26.4,26.4,1,186,66,"No",4,"Male",77,NA,5,"Yes"
20,5,600,7,6,7,1,2,2,2,2,5,7,7,5,3,5,3,"Yes",8,6,2,3,"Yes",2,4,1,6,5,"Yes",6,1,4,"No","Yes","Yes",NA,"No","Yes","Yes",5,3,6,4,5,7,6,6,20,20,4,185,98,"No",7,"Male",41,"Legally married",5,"Yes"
90,5,210,3,5,5,3,4,3,4,3,9,9,10,7,3,8,8,"No",8,4,4,3,"Yes",2,3,1,10,10,"Yes",7,4,3,"No","No","No",2000,"Yes","No","No",4,3,9,4,5,4,1,1,NA,NA,0,170,85,"No",8,"Male",59,NA,5,"Yes"
30,5,240,9,8,9,3,3,2,4,2,7,8,7,6,4,7,9,"Yes",9,6,6,3,"No",4,4,1,8,8,"No",7,2,2,"No","Yes","Yes",NA,"Yes","No","Yes",8,4,7,6,6,7,2,2,0,13.2,1,167,62,"Yes",8,"Female",36,"Living with my partner - not legally recognised",4,"Yes"
60,5,150,5,3,5,3,3,3,2,3,5,7,6,5,4,5,5,"Yes",7,4,4,3,"No",4,5,1,7,9,"Yes",5,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,4,4,1,2,5,41.1,159.7,3,185,70,"No",8,"Male",34,"Living with my partner - not legally recognised",5,"Yes"
38,4,540,8,7,7,3,4,1,4,2,7,6,7,7,6,6,7,"Yes",9,6,4,3,"No",4,5,1,3,3,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",9,4,7,4,5,3,1,5,19.2,19.2,2,182,70,"No",9,"Male",43,"Legally married",4,"Yes"
0,5,45,5,5,3,3,1,4,1,3,5,0,8,3,8,0,1,"Yes",3,6,6,1,"No",3,1,3,3,0,"No",0,1,1,"No","Yes","Yes",NA,"Yes","No","Yes",0,2,9,3,2,2,1,4,126,126,2,182,84,"No",0,"Male",55,NA,6,"Yes"
634,5,360,5,2,5,3,2,2,3,1,3,7,8,0,1,5,7,"Not eligible to vote",8,7,3,4,"No",4,2,1,9,0,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",2,2,5,3,5,0,4,6,350,40,4,175,53,"No",9,"Male",19,NA,6,"Yes"
90,4,60,7,7,6,2,2,4,2,3,3,4,5,4,3,4,4,"Yes",7,4,4,2,"No",4,4,1,7,5,"No",5,3,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,7,5,5,7,1,5,6.6,21.1,4,180,89,"No",7,"Male",64,"Living with my partner - legally recognised",5,"Yes"
120,5,120,8,8,8,3,1,1,1,2,4,3,7,3,4,2,6,"Yes",8,6,4,4,"No",3,5,1,6,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,6,5,7,1,1,NA,NA,0,181,88,"No",9,"Male",66,"Legally married",5,"Yes"
30,5,60,5,7,5,2,2,1,3,1,7,9,9,5,5,4,6,"Yes",8,7,1,4,"No",1,1,3,8,5,"Yes",10,5,7,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",9,4,9,6,6,0,1,1,NA,NA,0,168,105,"No",9,"Female",55,NA,6,"Yes"
120,5,180,4,6,4,3,2,1,2,1,3,7,7,3,3,2,3,"No",8,6,2,3,"No",3,3,1,3,2,"No",1,2,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",3,2,8,4,5,1,1,2,13.2,13.2,1,184,98,"No",8,"Male",41,"Living with my partner - not legally recognised",4,"Yes"
0,5,900,0,10,0,1,1,1,1,1,0,5,5,0,0,0,0,NA,2,4,1,1,"Yes",1,1,3,5,0,"Yes",8,1,1,"Yes","Yes","Yes",NA,"No","Yes","Yes",10,4,0,3,4,0,1,1,NA,NA,0,165,56,"Yes",0,"Male",30,NA,1,"No"
60,5,600,8,8,8,4,2,4,2,2,5,8,9,5,5,7,7,"Yes",8,5,2,2,"No",4,5,1,7,7,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,5,8,2,6,7,1,6,19.2,19.2,2,174,81,"No",8,"Male",54,"Legally married",3,"Yes"
30,1,NA,5,10,5,1,1,1,1,1,5,8,8,5,5,5,3,"Yes",8,4,4,1,"Yes",2,3,2,10,7,"Yes",10,2,7,"No","Yes","Yes",NA,"Yes","No","No",1,1,9,6,6,0,1,7,49.6,49.6,5,160,88,"No",8,"Female",89,NA,6,"Yes"
15,5,120,4,8,7,2,3,2,3,2,7,7,7,7,7,7,8,"Yes",8,5,2,3,"No",3,4,1,4,5,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,7,5,6,2,1,4,0,13.2,1,168,55,"No",8,"Female",26,"Living with my partner - legally recognised",3,"Yes"
5,5,180,4,5,4,1,1,1,1,1,2,7,8,1,1,1,1,"Yes",7,4,1,3,"No",3,4,1,1,1,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,3,2,3,5,3,3,4,6.6,33.2,3,183,83,"No",7,"Male",35,"Legally married",5,"Yes"
NA,5,15,0,2,0,1,1,NA,1,1,0,0,5,0,0,0,0,"No",0,1,2,1,"No",3,3,3,0,3,"No",0,1,1,"Yes","Yes","Yes",NA,"No","No","Yes",9,4,5,5,5,0,6,7,50,0,2,170,85,"No",0,"Male",62,NA,6,"Yes"
30,5,180,5,6,4,2,3,1,2,1,6,4,6,5,6,7,7,"No",9,6,5,3,"No",4,4,1,6,5,"Yes",6,1,4,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,7,6,5,2,1,5,216,86,3,200,102,"No",8,"Male",20,NA,5,"Yes"
30,5,660,9,9,8,2,2,2,2,2,6,6,8,5,5,5,6,"Yes",9,6,4,4,"No",4,5,1,8,5,"Yes",6,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,9,6,5,3,2,5,13.2,13.2,2,168,88,"No",9,"Female",61,"Legally married",5,"Yes"
60,5,360,9,8,7,3,2,2,2,2,5,3,5,5,4,6,5,"Yes",5,6,3,NA,"Yes",2,4,1,3,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","No",8,4,5,2,4,2,6,6,13.2,21.1,4,167,60,"No",8,"Female",25,NA,4,"No"
30,5,60,6,5,7,2,1,1,1,1,3,1,6,3,3,3,3,"No",7,4,1,1,"No",3,4,1,9,8,"No",8,2,6,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,6,5,5,3,7,36,26.4,2,156,67,"No",8,"Female",79,NA,5,"Yes"
25,5,480,6,6,4,3,3,3,2,3,3,7,8,2,2,6,8,"Yes",8,6,5,4,"No",4,4,2,4,6,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,4,8,4,5,5,2,5,19.8,26.6,2,166,68,"No",8,"Male",32,"Legally married",4,"Yes"
30,5,60,3,4,3,2,2,1,1,1,5,3,7,0,1,5,3,"Yes",8,2,2,2,"Yes",3,5,1,9,3,"No",4,1,1,"No","Yes","No",1993,"No","Yes","Yes",9,5,7,2,5,0,1,4,6.6,0,1,159,69,"Yes",8,"Female",53,NA,6,"Yes"
592,5,60,6,6,8,3,3,1,2,1,6,8,8,7,7,7,7,"Yes",9,2,2,1,"No",3,5,1,9,6,"No",3,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,2,8,6,6,7,3,4,0,6.6,1,156,54,"No",8,"Female",69,NA,6,"Yes"
60,5,120,5,5,7,2,2,1,2,1,7,5,8,8,6,6,6,"Yes",8,4,4,3,"No",3,3,2,6,5,"No",2,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,3,5,1,2,1,NA,NA,0,168,80,"No",8,"Female",62,"Legally married",4,"Yes"
60,5,60,4,6,3,4,2,3,1,3,0,8,8,2,3,4,3,"Yes",8,6,4,4,"No",3,3,1,1,7,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",8,5,5,3,5,2,1,6,39.6,21.1,3,174,94,"No",8,"Male",57,"Legally married",5,"Yes"
30,5,120,6,4,5,2,1,1,2,2,1,2,5,2,1,2,3,"Yes",7,6,3,2,"No",3,3,3,7,7,"Yes",6,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",4,2,6,6,5,2,1,4,21.1,6.6,1,170,72,"No",7,"Female",53,"Legally married",1,"Yes"
769,5,60,2,7,8,3,2,2,3,1,6,6,8,4,4,5,7,"Yes",9,6,4,4,"No",2,4,1,5,5,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,3,8,3,5,7,3,6,26.4,39.6,4,163,75,"No",9,"Female",68,"Legally married",3,"Yes"
45,5,120,6,7,7,3,3,2,2,2,7,7,8,5,5,6,6,"No",8,5,3,2,"No",3,5,1,7,8,"No",3,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,2,6,4,4,0,4,4,20,100,2,180,61,"No",8,"Male",17,NA,4,"Yes"
60,5,720,8,7,6,3,2,3,2,3,6,7,9,5,6,6,6,"Yes",8,7,4,3,"No",4,3,1,9,7,"No",5,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",9,5,7,5,5,0,6,3,9.6,26.4,2,NA,NA,"No",8,"Female",47,"Legally married",NA,"Yes"
35,3,NA,3,3,3,1,2,1,3,1,6,7,5,5,5,6,6,"Yes",8,4,2,3,"No",2,4,2,5,5,"No",0,5,1,"No",NA,"No",NA,"No","No","No",7,2,8,4,4,1,1,6,121.4,26.4,2,186,90,"No",8,"Male",NA,"Living with my partner - not legally recognised",5,"Yes"
90,5,60,8,8,4,3,2,3,2,3,5,7,7,5,6,6,7,"Yes",7,5,4,3,"No",3,4,1,6,7,"No",6,2,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",9,4,6,6,5,4,3,4,13.2,42.2,2,168,76,"Yes",7,"Female",55,"Living with my partner - legally recognised",3,"Yes"
30,5,480,6,6,6,3,3,3,3,3,7,7,6,6,7,7,7,"Yes",8,6,4,4,"No",3,4,1,5,7,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,5,5,5,2,6,0,9.8,2,180,95,"No",8,"Male",37,NA,5,"Yes"
150,5,60,8,10,9,4,1,3,3,3,5,3,4,2,4,0,0,"Yes",7,4,6,4,"No",2,1,2,9,5,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",NA,NA,5,1,3,7,5,5,0,20,1,178,73,"No",9,"Male",69,NA,5,"Yes"
45,5,330,5,4,3,2,2,3,2,2,1,4,6,0,1,0,3,"Yes",7,5,4,3,"No",3,5,1,4,6,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,4,8,5,5,2,1,6,144,85.2,1,172,58,"No",8,"Female",55,NA,6,"Yes"
60,5,600,7,7,6,3,2,2,2,2,2,5,8,0,0,0,3,"Yes",8,7,4,1,"No",4,4,1,5,5,"No",7,1,1,"No","Yes","No",1967,"Yes","Yes","No",8,3,4,5,5,2,6,2,13.2,72,1,184,72,"No",8,"Male",57,"Legally married",4,"Yes"
20,5,180,4,6,6,2,2,1,1,1,2,3,5,3,2,3,6,"No",8,5,4,2,"No",2,5,1,9,9,"Yes",9,4,4,"No","Yes","No",2011,"Yes","No","No",9,4,8,6,6,7,1,4,0,13.2,1,160,53,"No",7,"Female",38,"Legally married",6,"No"
30,5,30,5,7,5,4,1,3,1,3,0,3,3,0,0,0,0,"Yes",8,3,2,1,"No",3,4,1,5,5,"Yes",6,2,2,"Yes","Yes","Yes",NA,"Yes","Yes","Yes",5,3,7,3,5,7,1,2,6.6,6.6,1,189,110,"No",10,"Male",50,"Legally married",4,"Yes"
120,5,300,4,8,6,2,3,2,4,4,8,10,8,7,5,8,10,"Yes",10,4,4,2,"Yes",3,5,1,10,10,"Yes",10,7,7,"No","Yes","No",2002,"Yes","No","No",5,1,10,6,6,1,1,1,NA,NA,0,165,70,"No",10,"Male",42,"Legally married",5,"Yes"
60,5,120,6,6,7,3,3,4,3,2,5,7,8,5,5,6,7,"No",7,6,4,3,"No",4,5,1,3,5,"Yes",6,1,5,"Yes","No","No",2008,"No","No","No",8,4,8,2,5,4,1,3,13.2,13.2,3,172,67,"No",7,"Male",23,NA,5,"Yes"
30,5,600,4,6,3,3,2,3,3,3,5,5,7,4,4,6,7,"Yes",8,6,4,3,"No",3,5,1,6,6,"Yes",4,1,2,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,4,5,3,5,4,1,6,10,50,3,178,78,"No",7,"Male",33,"Living with my partner - legally recognised",5,"Yes"
20,2,NA,5,5,3,2,3,2,2,2,3,3,5,2,3,3,4,"Yes",9,6,3,3,"No",3,4,1,7,7,"No",3,1,4,"No","Yes","Yes",NA,"Yes","Yes","Yes",5,2,9,3,5,3,1,4,0,26.4,1,172,65,"No",9,"Female",66,NA,3,"Yes"
60,5,600,8,7,7,4,2,3,2,3,1,7,7,3,5,7,8,"Yes",9,6,3,2,"No",3,4,1,5,7,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,4,8,3,4,0,1,2,0,13.2,1,169,85,"No",9,"Male",49,"Living with my partner - legally recognised",5,"Yes"
60,5,90,4,5,3,1,1,1,2,2,5,8,4,6,3,5,7,"Yes",8,5,4,2,"No",3,4,2,9,9,"Yes",6,3,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,6,6,6,4,3,7,13.2,26.4,4,162,72,"No",6,"Male",78,"Legally married",4,"Yes"
60,5,720,3,6,7,4,4,3,4,4,8,9,6,6,5,9,6,"Yes",8,6,1,2,"No",3,2,2,7,8,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",9,5,8,6,5,3,3,6,13.2,23,1,184,84,"No",8,"Male",59,"Legally married",4,"Yes"
60,5,480,8,8,7,3,2,1,2,1,4,4,5,4,4,4,4,"Yes",8,6,3,3,"No",4,5,1,7,7,"No",1,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,3,8,2,5,5,1,6,9.6,93.1,3,176,60,"No",8,"Female",54,NA,4,"Yes"
60,4,90,4,10,3,4,2,4,1,5,10,10,10,9,8,7,8,"Yes",10,5,1,1,"Yes",4,3,1,9,9,"No",2,3,7,"No","Yes","Yes",NA,"Yes","No","No",10,4,0,5,5,1,4,1,NA,NA,0,163,66,"Yes",8,"Male",44,NA,5,"Yes"
30,3,NA,1,1,2,3,1,1,1,1,3,0,7,3,3,3,3,"Yes",5,3,4,1,"Yes",3,3,2,5,4,"Yes",6,1,4,"No","Yes","No",1960,"Yes","Yes","Yes",3,2,2,5,4,0,3,2,NA,9.8,1,164,74,"No",5,"Female",64,"Legally married",6,"Yes"
30,5,720,7,8,8,1,4,1,1,1,7,8,10,6,6,7,3,"No",10,7,6,3,"Yes",4,4,1,7,8,"Yes",10,6,7,"Yes","Yes","No",2012,"No","No","No",6,2,7,4,4,4,1,1,NA,NA,0,173,75,"No",10,"Male",20,NA,3,"Yes"
60,5,60,5,8,5,2,2,1,1,1,5,5,3,3,3,3,3,"Yes",7,5,4,1,"No",2,3,2,7,4,"No",5,1,1,"No","Yes","No",1980,"Yes","No","No",5,3,6,5,5,0,1,5,0,13.2,1,156,60,"No",7,"Female",64,"Legally married",5,"Yes"
90,5,360,6,5,6,4,4,3,3,3,6,5,7,5,5,6,7,"Yes",9,6,3,3,"No",4,5,1,8,8,"No",2,2,1,"No","Yes","No",1999,"Yes","No","No",7,3,7,7,7,5,1,1,NA,NA,0,170,65,"No",8,"Male",NA,NA,4,NA
60,1,NA,6,10,10,4,3,1,3,1,6,10,10,6,6,7,9,"Yes",8,4,3,1,"No",3,4,1,6,5,"Yes",8,5,7,"No","Yes","Yes",NA,"Yes","Yes","Yes",NA,1,NA,1,5,7,1,5,72,0,1,NA,52,"No",10,"Female",89,NA,NA,"Yes"
60,1,NA,5,6,7,2,1,1,1,1,3,4,5,4,3,4,2,"Yes",6,6,4,4,"No",3,1,3,5,3,"No",3,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,4,9,3,5,1,3,5,20,100,3,171,71,"No",6,"Male",48,"Legally married",3,"Yes"
0,5,120,4,5,0,1,3,1,2,1,2,2,9,0,0,0,0,"No",8,4,1,5,"No",3,4,1,10,0,"No",0,1,1,"No","Yes","Yes",NA,"Yes","No","No",5,3,8,5,5,7,3,7,13.2,26.4,1,175,80,"No",10,"Male",69,"Legally married",6,"Yes"
10,4,60,6,6,8,2,3,1,1,1,3,9,9,3,3,3,5,"Yes",8,6,4,3,"No",2,3,2,8,6,"No",2,1,1,"No","Yes","Yes",NA,"No","Yes","Yes",6,2,8,1,5,7,6,6,160.3,160.3,5,173,62,"No",7,"Female",53,"Living with my partner - legally recognised",4,"Yes"
60,5,270,5,5,6,2,3,1,2,2,6,7,8,6,5,5,4,"Yes",7,4,4,2,"No",3,2,3,8,7,"Yes",8,2,2,"No","Yes","Yes",NA,"No","Yes","Yes",5,3,6,5,6,0,1,1,NA,NA,0,166,67,"Yes",4,"Female",38,"Legally married",4,"Yes"
30,5,420,9,9,5,3,3,3,2,3,7,8,8,6,4,6,7,"No",9,4,4,4,"No",3,4,1,7,8,"No",0,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",7,2,9,5,5,3,1,6,0,19.8,2,187,99,"No",9,"Male",61,"Living with my partner - legally recognised",3,"Yes"
60,5,60,7,7,8,2,1,1,2,1,3,7,7,4,4,6,7,"Yes",8,4,3,3,"No",3,3,3,7,7,"Yes",7,1,1,"No","Yes","Yes",NA,"Yes","Yes","Yes",6,5,6,5,6,3,1,4,23.2,NA,1,NA,NA,"Yes",8,"Female",55,"Legally married",3,"Yes"
